id,text,is_correct,true_label_text,prediction_text,true_label,predicted_label,predicted_label_id,error
ynat-v1_dev_00068,이란 외무 트럼프 볼턴에 들볶여 알렉산더도 못한 일 하려해,True,세계,세계,4,세계,4.0,
ynat-v1_dev_00069,1보 코스피 상승 마감…1940선 돌파,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00070,토마토 200t 한자리에…퇴촌 토마토축제 개막,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00071,엘지이노텍 2분기 영업익 134억원…59% 감소,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00072,日밴드 세카이노 오와리 11월 내한공연,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00073,코로나19에 대학 수업일수 단축…학생들 교육 질 저하 우려,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00074,구직 열기,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00075,日 장애인 불임수술 정책 피해자 구제법 제정종합,False,세계,,4,,,'NoneType' object has no attribute 'strip'
ynat-v1_dev_00076,세종대왕 숭모제전·문화재재단 명작무뎐 공연,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00077,단일팀 기운 이어갈까 여자농구 대표팀 월드컵 결단식,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00078,소부장 투자상품 7일만에 목표수익 달성 상환완료 대박,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00079,프로농구 kt 새 외국인 선수 스테판 무디 영입,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00080,라임 무역금융 펀드 실사 종료…손실 확대 우려종합,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00081,경영계 한일 기업인 입국제한 완화 환영…협력확대 계기 돼야,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00082,관광주간 지출 5조원 달하지만…국민 여가없어 여행 못가,False,경제,사회,1,사회,2.0,
ynat-v1_dev_00083,수능 당일 마스크 꼭 써야 망사밸브형은 불가…단체 점심 안돼종합,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00084,속보 홍남기 중기 화학물질 시설 검사유예 연말까지 연장,False,사회,정치,2,정치,6.0,
ynat-v1_dev_00085,현대미술로 끌어온 초충도…송현미 개인전,True,생활문화,생활문화,3,생활문화,3.0,
ynat-v1_dev_00086,시노펙스 손경익·이진희 대표이사 체제로 변경,False,사회,경제,2,경제,1.0,
ynat-v1_dev_00087,美 대선족집게 무디스 애널리틱스 힐러리 낙승 전망,True,세계,세계,4,세계,4.0,
ynat-v1_dev_00088,파죽지세 DB vs 18년 기다린 SK…전문가들도 백중세...,True,스포츠,스포츠,5,스포츠,5.0,
ynat-v1_dev_00089,최양하 한샘 회장 부인·아들에게 주식 15만주 증여,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00090,노딜 브렉시트 우려…英 응급처치용 의료장비 비축,True,세계,세계,4,세계,4.0,
ynat-v1_dev_00091,금융당국 은행 유동성 비율 규제 완화 연장할듯,False,경제,정치,1,정치,6.0,
ynat-v1_dev_00092,코레일네트웍스 노조 파업…매표 등 큰 지장 없어종합,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00093,기자협회 KTG의 경향신문 소송과 기자 가압류 규탄,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00094,제주도 유치·초등 1∼3년생 대상 긴급돌봄 무상급식비 지원,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00095,마야 뱀왕조 비밀 풀 왕실 무덤 벨리즈서 발굴,False,세계,,4,,,'NoneType' object has no attribute 'strip'
ynat-v1_dev_00096,용인서 옛 연인 살해한 중국교포 신상공개…49세 유동수,True,사회,사회,2,사회,2.0,
ynat-v1_dev_00097,그래픽 코로나19 확산 이후 한국은행의 주요 금융 정책 대응,True,경제,경제,1,경제,1.0,
ynat-v1_dev_00098,북핵 극도로 우려…아태지역의 가장 위험하고 예측불가한 나라,False,정치,세계,6,세계,4.0,
ynat-v1_dev_00099,세아제강 김석일 대표이사 신규 선임,True,경제,경제,1,경제,1.0,
