Sentence 1,Sentence 2,True Binary,Pred Binary,True Real,Pred Real
입영신청과 동시에 다음해의 입영일자·부대가 확정되도록 ‘현역병 입영신청 제도’가 달라진다.,"입영 신청과 동시에 내년 입영 날짜와 단위가 확정될 수 있도록 ""능동형 병역 신청 시스템""이 변경됩니다.",1,1,3.0,4.2
시간이 다되서 제출하지 말고 레포트는 기한 하루 전에 제출해라.,요새 회사 분위기도 안 좋으니까 회사 상사하고 저녁 약속이면 늦지 말아.,0,0,0.1666666666666667,0.0
3층에는 침대와 다다미방과 화장실이 있다.,"3층에는 침대, 다다미 방, 화장실이 있습니다.",1,1,4.857142857142857,5.0
숙소 덕분에 세비야 여행은 매우 행복했다.,이 숙소 덕분에 프라하에서의 여행은 더욱  더 행복했다.,0,0,2.5,2.7
어머니 생일이 언제셔?,어머님이 태어나신 날짜가 어떻게 되나요?,1,1,3.833333333333333,4.8
"세탁기와 냉장고, 인덕션 등도 마음에 들었습니다.","숙소, 침구, 발코니 등은 전부 마음에 들었습니다.",0,0,1.714285714285714,2.5
여자친구하고 약속 미뤘다가 좋을 거 없으니 미루지 말아.,지각하지 말고 사장님과 약속에 미리 가세요.,0,0,1.0,2.2
짐이 많은 사람은 이용하시면 좋을 듯해요.,짐이 많으신 분들에게 좋을 것 같습니다.,1,1,4.5,4.8
앞으로는 공공데이터를 기반으로 AI 등 신산업이 육성될 수 있도록 기업이 필요로 하는 데이터·산업 파급효과가 큰 데이터를 집중 개방한다.,"관련 부처, 각 분야 전문기관, AI기업이 함께 주요과제를 선정하고, 대국민 체감도와 경제적 파급효과가 큰 분야를 우선 추진한다.",0,0,1.857142857142857,2.7
에필탑까지 걸어서 삼분 정도 걸립니다.,에펠탑까지 걸어서 3분 정도 걸립니다.,1,1,5.0,5.0
책 읽을땐 백열등보단 간접 조명을 켜는게 좋아,당신 잊지말고 독서할땐 간접조명을써서 해요,1,1,3.0,3.8
18일 송파구 거주 29세 간호사에게서 처음 감염이 확인된 이래 19일 3명의 간호사가 추가로 확진되었다.,또 이날 중으로 22명의 경증확진자가 추가로 입소할 예정이다.,0,0,0.5714285714285714,1.8
"외식업 지원 차원에서 정부·지자체 구내식당 휴무제는 직영 주2회, 위탁 주1회 이상으로 확대키로 했다.","외식 산업을 지원하기 위해, 정부와 지방 정부는 휴일 제도를 직접 관리 하에 일주일에 두 번 이상, 위탁 운영으로 확대하기로 결정했습니다.",1,1,3.166666666666667,3.5
타이 쿠킹클래스가 처음인 분들께 추천합니다,태국 요리 교실에 처음 오신 분들께 추천합니다.,1,1,4.571428571428571,4.8
다음은 문 대통령 과학기술정보통신부·방송통신위원회 업무보고 모두발언 전문.,다음은 문 대통령 국방부·국가보훈처 업무보고 모두발언 전문.,0,0,2.833333333333333,2.8
걸어서 두오모 성당이 있는 도심까지 가는 데 15분 정도 걸립니다.,스테판 돔이 있는 센터까지는 걸어서 30분 남짓 걸립니다.,0,0,0.8333333333333334,2.8
"위치, 위생, 인테리어, 의사소통 등 모든 면에서 다 좋았어요.",모든 면에서 사진보다 훨씬 더 좋았어요.,0,1,2.142857142857143,3.2
주택 공급을 위해 가로주택정비사업 및 준공업지역 사업을 활성화하는 이유는?,가로주택정비사업과 준공업지역사업이 활성화되는 이유는 무엇입니까?,0,1,2.571428571428572,3.5
욕실은 공용욕실이므로 냄새가 좀 나는건 게스트하우스의 어쩔수없는거죠.,콤콤한냄새가 나는건 어쩔수없는거 같아서 예민하신분은 피하세요.,0,0,1.166666666666667,2.8
한 가지 아쉬운 점은 외부 소음이 크다는 점이에요.,"단, 한가지 유념하실 점은 와이파이가 없다는 점이에요.",0,0,1.333333333333333,2.5
골프우산 가격 알려줘.,골프우산은 얼마에 살 수 있어?,1,1,3.666666666666667,4.8
"세계를 선도하는 경제, 국가균형발전과 ‘함께 잘 사는 나라’를 위한 해답이 ‘스마트시티’에 있습니다.","스마트 시티는 세계 최고의 경제, 균형 잡힌 국가 개발, 그리고 ""웰빙 국가""에 대한 해답을 가지고 있습니다.",0,1,2.428571428571428,4.8
숙소의 청결도 또한 일반 호텔만큼 청결했습니다.,또한 바닥의 청결도 또한 의심이 들었습니다.,0,0,0.6666666666666666,2.5
집단 격리는 ‘감염병 예방법’을 근거로 이뤄진다.,집단적 격리는 '감염병 예방법'에 기초하고 있습니다.,1,1,4.166666666666667,4.8
"이번 국감에서 택배 노동자, 플랫폼 노동자, 프리랜서 등 특수고용노동자에 대한 지원을 제도화할 필요성에 대해 공감대가 마련된 것은 무엇보다 큰 소득입니다.","이번 국감에서는 택배기사, 플랫폼 근로자, 프리랜서 등 전문직 종사자에 대한 제도적 지원이 필요하다는 데 공감대가 형성되어 있는 것이 가장 큰 소득입니다.",1,0,4.4,2.7
이태리에서 손에 꼽힐 정도로 좋았습니다.,그것은 이탈리아에서 최고 중의 하나였습니다.,1,1,3.833333333333333,4.8
모레에 스케쥴 계획되어 있는 거 시간이 언제죠?,이번 주말이랑 다음 주말 중에 언제가 더 시간이 많아?,0,0,1.666666666666667,2.2
우리는 4일간 이 숙소에 머물렀습니다.,저희부부는 4박5일동안 피렌체숙소에 머물렀습니다.,0,1,2.142857142857143,3.8
하지만 숙소 자체는 문제될 것이 전혀 없습니다.,하지만 숙소 자체는 전혀 문제가 되지 않습니다.,1,1,4.833333333333333,4.8
엘니뇨가 일어날 때 해수면은 몇 도나 상승해?,알려주십시오. 엘니뇨 현상 시 해수면의 온도 상승 폭을.,1,1,3.8,4.5
미국의 가정집을 경험하기에 최고였어요.,바르셀로나의 여름을 즐기기에 최고의 장소였습니다.,0,0,0.0,1.8
현관 문 열쇠로 문을 여는데 컨트롤이 필요합니다.,현관문 열쇠로 문을 열 수 있는 제어장치가 필요해요.,1,1,3.142857142857143,4.6
이와 같이 고령층이 쏟아져 나오는 상황임에도 연금제도의 미성숙과 노후준비 미흡으로 우리나라 노인빈곤율은 OECD 최고수준입니다.,"노인들의 유입에도 불구하고, 한국의 노인 빈곤율은 미숙한 연금제도와 불충분한 은퇴 준비로 인해 OECD에서 가장 높습니다.",1,1,3.8,4.8
지난 2일 기준으로 4만 64개 기업이 신청을 완료했다.,"2일 현재 40,064개 업체가 신청을 완료했습니다.",1,1,4.142857142857143,4.8
국토교통부와 행정안전부는 3일 이 같은 내용을 골자로 한 ‘부동산 공시가격 현실화 계획’과 공시가격 현실화에 따른 세부담을 완화하기 위한 ‘재산세 부담 완화방안’을 발표했다.,행정안전부는 2일 정부서울청사에서 경찰청·소방청과 합동으로 이 같은 내용을 포함한 ‘2020년 업무계획’을 발표했다.,0,0,1.0,1.8
경제는 성장하면서 온실가스 배출량은 줄어드는 탈동조화(Decoupling)를 실현하기 위한 온실가스 감축 역량을 강화한다.,"경제가 성장함에 따라, 그것은 디커플링을 실현하기 위해 온실가스 배출을 줄이는 능력을 강화할 것입니다.",1,1,3.142857142857143,4.6
메일 용량이 부족하면 학교 메일 말고 이번 달에 받은 학회메일을 삭제하는건 어때?,이번 달에 학교에서 온 메일 말고 학회에서 온 메일은 모두 지워.,0,1,2.0,3.8
3000만원 이하 소액대출은 지역신용보증재단 심사를 기업은행에 위탁하기로 했다.,"3,000만원 미만의 소규모 대출은 기업은행에 의해 국내 신용보증재단을 검토하도록 의뢰될 것입니다.",1,0,3.166666666666667,2.7
더운물 틀고 샤워하는거 금지.,"샤워할 때 더운물로 하지말고, 찬물로 해.",0,1,2.428571428571428,4.6
이봐요 이거 인덕션 어떻게 쓰는 지좀 알려줘요,인덕션 사용 방법 좀 설명해줘,1,1,3.714285714285714,4.5
아울러 현재 관리체계도 한층 강화해 운영한다.,"또한, 현행 관리체계를 강화하여 운영하고 있습니다.",1,1,4.4,4.8
정부는 더욱 막중한 책임감을 가지겠습니다.,정부는 더 많은 책임을 질 것입니다.,1,1,3.666666666666667,4.7
친절한 호스트 덕분에 무리없이 잘 찾아갈 수 있었습니다.,친절한 호스트 덕분에 친절한 바르셀로나를 경험 할 수있었습니다,0,0,1.833333333333333,2.7
저번 년도 용평엔 얼마나 많은 눈이 왔나요?,용평 지역은 강설량이 어느정도입니까? 작년 기준으로.,1,1,4.6,4.6
호스트는 정말 친절하고 다정다감합니다.,"호스트는 정말 친절하고, 수시로 연락 가능합니다.",0,0,2.666666666666667,2.8
특히 숙소 뒤쪽 공원이 매우 아름답습니다.,특히 숙소랑 버스 정류장이 매우 가깝습니다,0,0,1.571428571428571,2.5
어른들과 좋은 관계로 남고 싶으면 어른들과의 약속을 미루지 마셔야 합니다.,잘 보이고 싶으면 어른들과는 약속 미루지 마.,0,1,2.833333333333333,4.6
다만 혼자 여행하시는 분들은 밤에 귀가하실 때 조금 무서우실 수도 있어요.,보니 예민하신분들은 밤에 소음이 좀 거슬릴수도 있을듯합니다.,0,0,0.2,2.5
내일 해상의 파도 높이는 어떻습니까?,해상 파도는 얼마나 높을 예정입니까? 내일은.,1,1,4.428571428571429,4.8
개인 욕실 따로 있고 화장실 깨끗해요.,소파도 엄청 편하고 화장실도 깨끗해요.,0,0,1.857142857142857,2.7
집주인 내외분들은 성격이 젠틀하고 친절하세요.,집은 아주 깔끔하고 호스트도 친절하세요.,0,0,2.166666666666667,2.8
메일로 학교 성적표를 받는 것이 우편으로 받는 것 보다 빠르고 좋을거야.,학교 성적표를 받는 방법은 다른 방법들보단 메일로 받는 것을 추천해.,0,1,2.571428571428572,4.5
"이날 0시 기준으로 지난 1주간의 국내 하루 평균 환자는 181.6명으로 수도권은 125.6명, 강원권 114.9명, 호남권 19.6명 등으로 나타났다.",이날 0시 기준 국내 코로나19 확진자는 총 8086명이다.,0,0,0.5714285714285714,2.8
2층에 얇은 벽 하나 사이로 방이 두 개 있습니다.,거실옆 작은 방에도 싱글 침대가 두개 있습니다.,0,0,1.142857142857143,1.2
팜리조트 밑에는 음식점과 영화관도 있다.,그밖에 세계음식점과 영화관도 있었습니다.,0,0,1.666666666666667,2.7
다른 사람에게 추천하고 싶은 숙소입니다.,여성분들에게 더더욱 추천하고 싶은 숙소입니다.,0,1,2.833333333333333,3.5
벤쿠버에 다시 간다면 또 묵을 것입니다.,바르셀로나에 다시 온다면 꼭 여기에 묵을 것입니다.,0,0,1.857142857142857,2.5
가계대출 중 담보·보증대출을 제외한 신용대출과 햇살론 등 보증부 정책서민금융대출에 대한 상환 유예를 신청할 수 있다.,"개인사업자가 개인 명의로 받은 가계 신용대출과 근로자햇살론, 햇살론, 바꿔드림론, 안전망대출 등 보증부 정책서민금융대출 및 사잇돌대출 등이 특례적용된다.",0,0,1.666666666666667,2.8
지금까지 만났던 호스트 중에서 가장 좋았어요,제가 만난 호스트 중에 최고였어요.,1,1,4.166666666666667,4.8
햇볕 강한 낮에는 잊지 말고 선글라스 착용하렴.,미세먼지 높을 때는 밖에 나가지마.,0,0,0.1666666666666667,1.8
이동통신 구내중계설비(중계기) 설치·철거 요건도 완화했다.,"또한, 이동 통신 시설 내 릴레이 시설(인터셉터)의 설치 및 제거 요건도 완화하였습니다.",1,1,3.285714285714286,4.7
콜로세움과 매우 가깝고 숙소도 깨끗해요.,침실과 화장실도 매우 깨끗해서 만족해요!,0,0,1.428571428571429,2.7
“미세먼지를 재난에 준하는 상황으로 인식해야…미세먼지 해결로 국민의 건강권을 지킬 것”,"미세먼지를 재난과 같은 상황으로 인식해야 합니다.""미세먼지 문제를 해결함으로써 국민의 건강권을 보호하기 위해서입니다.""",1,1,3.857142857142857,4.6
같은 가격의 작은 호텔들보다는 훨씬 좋은 집이라고 생각합니다.,같은 가격에 작은 호텔보다 훨씬 좋은 집인 것 같아요.,1,1,4.857142857142857,4.8
근처에는 맛있는 감자튀김집과 훌륭한 식당이 있습니다.,하지만 숙소 근처에 정말 맛있는 젤라또 집이 있습니다.,0,0,1.833333333333333,2.5
"전자레인지, 세탁기, 냉장고 등등 필요한 모든 것이 있습니다.",요리 세탁에 필요한 모든것이 있습니다.,0,1,2.0,4.5
어머니께선 몇 년 몇 월 며칠에 태어나셨는지요?,어머님 생신이 언제세요?,1,1,3.333333333333333,4.8
수많은 후기에서처럼 위치가 정말 좋습니다.,그나마 한가지 장점은 위치가 좋습니다.,0,0,2.142857142857143,2.5
집안 조명등 밝기 상태는 어떻게 알아보지?,집안에 조명등 있는 거 밝기가 얼마나 되는지 알 수 있는 방법 있나요,1,1,4.166666666666667,4.8
숙소가 정말 조용하고 방이 너무 깨끗해요.,숙소는 정말 조용하고 방은 정말 깨끗해요.,1,1,5.0,4.9
"위치, 편의시설, 내부시설 모두 좋습니다.","친절도, 편의성, 접근성 모두 좋습니다.",0,0,2.571428571428572,2.8
"숙소의 위치와 깔끔함, 넓이 모두 아주 좋았습니다.",위치와 주변 편의시설 모두 좋았습니다.,0,0,2.142857142857143,2.7
홍보 메일 보내는 학회들 알려줘,메일 중에 학회 홍보 메일 오는 빈도랑 저널 홍보 메일 빈도랑 뭐가 더 높지?,0,0,1.0,2.5
"에어비앤비이나, 관리업체가 따로있는거같아요.",관리 업체가 영어는 어느정도 가능한 것 같아요.,0,0,0.3333333333333333,2.4
주변에 마트와 공원이 있어 가족여행에 좋은 숙소입니다.,가까운 곳에 마트와 멋진 공원이 있다.,0,0,2.5,2.8
감염병 대응 예산으로는 4400만명분 코로나 백신 확보를 위한 예산 9000억원도 내년 예산에 최종 포함됐다.,감염병 대응체계 보강을 위한 예산도 1500억원 증액됐다.,0,0,1.166666666666667,2.8
다음 홍콩 방문시에도 사용할 예정입니다,다음 홍콩 방문 때 쓸 거예요.,1,1,3.2,3.8
전자렌지 커피포트 토스트기 전부 다 있습니다,"전자레인지, 커피포트, 그리고 토스트 기계가 있습니다.",1,1,3.333333333333333,4.8
습하거나 건조한 날씨 중 좋아하는 것을 말씀해주십시오.,둘 중 하나를 골라야 한다면 습한 날씨와 건조한 날씨 중 무엇을 고르실건가요?,1,1,3.5,4.6
"첫째, 2025년까지 민간과 함께 4만7천여 명의 바이오산업 인재를 양성하겠습니다.","첫째, 2025년까지 민간부문과 함께 47,000명의 바이오 산업 인재를 양성할 것입니다.",1,1,4.833333333333333,4.5
그래도 이가격에 불편한것 전혀없었습니다!,숙박하는동안 불편한 것 전혀 없었습니다.,0,1,2.428571428571428,3.8
친구 생일 날짜를 잊으면 많이 실망감을 줄 테니 잊지 않도록 하세요.,친구 생일인데 잊어버리면 안돼.,1,1,3.0,4.5
카마타 역에 돈키호테가 있고 면세도 됩니다.,미술관도 근처에 있고 아시안 식당도 가까워요.,0,0,0.1428571428571428,2.5
요리할때 가스레인지 말고 인덕션 쓰면 큰일나,당신 인덕션말고 가스레인지로 저녁 요리해줘요,0,0,2.428571428571428,2.7
황사가 올 때는 실외 대신 실내에서 생활하기를 권합니다.,황사 오면 실내에 있어줘. 밖은 안돼.,1,1,3.333333333333333,4.5
현재 집합교육 형태로 운영중인 사회적응프로그램이 신종 코로나바이러스 2차 감염의 원인이 될 수 있다는 판단에 따른 것이다.,이 결정은 현재 집단 교육의 형태로 운영되는 사회적 응용 프로그램이 새로운 코로나 바이러스의 2차 감염을 일으킬 수 있다는 판단에 기초하고 있습니다.,0,1,2.833333333333333,4.8
넌 메일이 있고 손편지가 있다면 뭘 고를거야?,학교랑 회사 둘 중에 어디가 더 많이 나한테 메일을 보냈지?,0,0,1.166666666666667,1.5
최장 열대야 일수가 궁금합니다. 작년 기준.,지난 해 가장 길었던 열대야는 며칠이었습니까?,1,1,4.0,4.8
난방 보일러 켜는 방법을 알려줄래?,보일러로 난방하려면 어떻게 조작해야돼?,1,1,3.857142857142857,4.8
너는 겨울에 이십오도랑 삼십도 중에 몇도로 거실 난방하는게 좋아?,엄마 거실 난방 이십오도로 할까요 삼십도로 할까요?,0,0,2.571428571428572,2.8
로봇 청소기 사용하지 마.,일반 청소기로 청소하자.,0,1,1.333333333333333,3.6
그것 이외에는 흠잡을데 없은 숙소였습니다.,"그 외에는, 완벽한 숙박시설이었습니다.",1,1,4.0,4.8
용산사와 까르푸는 걸어서 갈 정도의 거리입니다.,소위 이야기하는 도깨비 촬영장소와는 걸어서 30분 정도 거리입니다.,0,0,0.5,1.5
무거운 짐만 없으면 역에서 가까운 거리에요,짐이 무겁지 않으시면 역에서 가깝습니다.,1,1,4.0,4.8
집 크기가 두명이 쓰기에 아주 충분했으며 청결합니다.,그 집은 두 사람이 살기에 충분히 크고 깨끗했습니다.,1,1,3.857142857142857,4.8
우리는 국제 금융 안전망 강화를 위해 상시적으로 대비한다.,우리는 항상 국제 금융 안전망을 강화할 준비가 되어 있습니다.,1,1,3.5,4.7
알람 오늘 맞춘 거 몇 시로 해놨어?,오늘 몇 시에 되세요?,0,0,0.1428571428571428,1.8
정부가 스마트공장의 데이터를 수집·활용할 수 있도록 제조데이터센터와 플랫폼 구축에 나선다.,"데이터 수집·활용 체계가 성공적으로 안착할 수 있도록 정부 연구개발 과제에 대한 데이터 등록 의무화, 데이터 계층에 따른 접근자격, 보안체계 등을 담은 가이드라인을 마련한다.",0,0,1.142857142857143,2.8
"이 사업은 기존 연구개발이 과제 기획부터 착수까지 1~2년이 소요되는 것과 달리, 기간을 대폭 단축해 문제발생 시 보다 신속한 연구개발 착수가 가능한 긴급대응연구체계다.","과제계획부터 착수까지 1~2년이 걸리는 기존 연구개발(R&D) 프로젝트와 달리, 이 프로젝트는 기간을 대폭 단축하고 문제가 발생할 경우 보다 신속하게 연구개발을 진행할 수 있는 비상대응 연구시스템입니다.",0,1,2.285714285714286,4.8
그래서 위치 찾는데는 문제가 없었구요.,청결도 위치 시설 등등 나무랄데가 없는 곳이었습니다,0,0,0.4,2.5
청년공제에 새로 가입하려는 청년과 기업은 청년내일채움공제 누리집(http://www.work.go.kr/youngtomorrow)에서 신청하면 된다.,가족돌봄비용은 고용노동부 누리집(www.moel.go.kr)에서 신청할 수 있다.,0,0,1.4,1.8
클락키까지 걸어서 10분 정도 걸려요.,타이페이 메인 역까지 걸어서 10분 정도 걸립니다.,0,0,1.714285714285714,2.5
설마 약속 시간이 됐는데 약속을 바꿀 생각은 하지 않겠지?,약속 시간까지 돼서 약속 바꾸면 진짜 사람도 아니다.,1,1,3.166666666666667,4.7
사그라다파밀리아에서 도보 7분 정도의 위치로 아주 좋았어요!,위치도 역에서 도보 5분정도로 아주 좋습니다.,0,0,0.8,2.8
정부는 연휴 기간 교통 불편을 줄이기 위해 23~27일 동안 정부합동 특별교통대책본부를 운영한다.,정부가 연말 교통사고 사망자를 줄이기 위해 음주운전 단속을 강화하는 등 특별대책을 시행한다.,0,0,1.571428571428571,2.7
낮에 조명등 켜놓고 있으면 혼나,당신 촛불말고 백열등 켜세요!,0,0,0.8333333333333334,1.5
숙소 바로 근처에 마트와 대중교통역이 있습니당.,또한 숙소 바로 옆에 패밀리마트와 세븐일레븐이 있어서 편합니다.,0,0,1.5,2.8
안방 말고 거실 온도 보려면 어떻게 말해야하나?,안방 말고 거실 지금 온도 보려면 뭐라고 해야해?,1,1,4.8,4.8
까탈루냐 광장이나 그라시아거리까지 약 15분 정도 걸어야합니다.,카탈로니아 광장이나 그라시아 거리까지는 걸어서 15분 정도 걸립니다.,1,1,4.833333333333333,4.8
침대가 살짝 작은 느낌이 있는데 180센치 이상의 키나 100키로 이상의 무게가 아닌 이상 불편할 정도는 아닐 것입니다.,"침대는 약간 작게 느껴지지만, 180cm 이상 혹은 100kg 이상 크지 않으면 불편하지 않을 거예요.",1,1,4.166666666666667,4.8
수강신청날이 언제인지 알려주실 수 있을까요?,수강신청 하는 날짜가 어느 날짜인지 아시는지요?,1,1,4.285714285714286,4.8
타이페이 빨간선 위쪽으로 여행가시는 분들께 너무나도 추천드립니다,타이페이에서 레드라인으로 여행하시기를 강력히 추천합니다.,1,1,3.428571428571428,3.8
베이징 여행하기 굉장히 좋은 위치이다.,여행하기 좋은 위치와 깨끗한 건물구조를 가졌다.,0,0,1.5,2.5
여름엔 에어컨 냉각수 보충하자. 선풍기 말고.,태풍 경로 지나지 말고 피해서 여행하자.,0,0,0.0,1.2
정부는 21일 정세균 국무총리 주재 국정현안점검조정회의에서 이러한 내용을 포함한 ‘공유경제를 활용한 영세·중소기업 부담 경감방안’을 논의·확정했다.,정부는 9일 국정현안점검회의에서 이 같은 내용을 포함한 중소기업·소상공인들의 분야별 애로 해소 방안 65건을 발표했다.,0,0,0.8333333333333334,2.8
한가지 아쉬운 점은 주방에 냄비나 포트가 조금 더러웠어요.,한 가지 아쉬운점은 세탁기가 고장나 손빨래를 했었어요.,0,0,1.0,2.7
지메일을 쓸거야 네이버 메일을 쓸꺼야?,두 개 중에 골라줘 네이버랑 지메일.,1,1,3.428571428571428,4.8
광시야각 영상 및 AR 기반의 공연자 원격 협업형 문화공연 예술 제작 플랫폼을 만든다.,공연자들 간에 광시야각 영상 및 증강현실 영상을 공유해 동시에 실연할 수 있는 협업형 제작 플랫폼을 완성시킨다.,0,1,1.666666666666667,4.7
제습기 조작법을 설명해줘,제습기 어떻게 조정하는지 알려줄래?,1,1,4.333333333333333,4.8
따뜻한 이탈리아인의 정을 느끼실꺼에요!,여러분은 이탈리아인들의 따뜻함을 느낄 거예요!,1,1,4.142857142857143,4.8
다만 화장실 바닥이 너무 미끄럽습니다.,그리고 화장실 바닥이 따뜻한게 좋았습니다.,0,0,1.142857142857143,2.5
티몬 말고 쿠팡 광고메일은 지워줘.,쿠팡 광고메일은 읽지 말고 지워,0,0,2.714285714285714,2.7
